id,awayTeam,group,homeTeam,lastUpdated,matchday,referees,score,season,stage,status,utcDate,winner,homeTeamName,awayTeamName
264789,"{'id': 672, 'name': 'Willem II Tilburg'}",Regular Season,"{'id': 684, 'name': 'PEC Zwolle'}",2019-09-26T15:30:34Z,1.0,"[{'id': 56912, 'name': 'Jeroen Manschot', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43717, 'name': 'Richard Brondijk', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56906, 'name': 'Cristian Dobre', 'role': 'REF', 'nationality': None}, {'id': 56908, 'name': 'Richard Martens', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 14766, 'name': 'Christiaan Bax', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 3}, 'halfTime': {'homeTeam': 1, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-02T18:00:00Z,AWAY_TEAM,PEC Zwolle,Willem II Tilburg
264790,"{'id': 678, 'name': 'AFC Ajax'}",Regular Season,"{'id': 679, 'name': 'SBV Vitesse'}",2019-09-26T15:30:34Z,1.0,"[{'id': 56905, 'name': 'Bas Nijhuis', 'role': 'REF', 'nationality': None}, {'id': 43901, 'name': 'Bas van Dongen', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 9560, 'name': 'Erwin Zeinstra', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 14766, 'name': 'Christiaan Bax', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43899, 'name': 'Danny Makkelie', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 2}, 'halfTime': {'homeTeam': 1, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-03T16:30:00Z,DRAW,SBV Vitesse,AFC Ajax
264791,"{'id': 677, 'name': 'FC Groningen'}",Regular Season,"{'id': 1914, 'name': 'FC Emmen'}",2019-09-26T15:30:34Z,1.0,"[{'id': 15152, 'name': 'Pol van Boekel', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43859, 'name': 'Dave Goossens', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 14765, 'name': 'Rens Bluemink', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17144, 'name': 'Edgar Bijl', 'role': 'REF', 'nationality': None}, {'id': 56904, 'name': 'Edwin van de Graaf', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-03T16:30:00Z,AWAY_TEAM,FC Emmen,FC Groningen
264792,"{'id': 674, 'name': 'PSV'}",Regular Season,"{'id': 666, 'name': ""FC Twente '65""}",2019-09-26T15:30:34Z,1.0,"[{'id': 43858, 'name': 'Serdar Gözübüyük', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43847, 'name': 'Charles Schaap', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 15154, 'name': 'Jan de Vries', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56920, 'name': 'Stan Teuben', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 9561, 'name': 'Allard Lindhout', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 1}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-03T18:45:00Z,DRAW,FC Twente '65,PSV
264793,"{'id': 683, 'name': 'RKC Waalwijk'}",Regular Season,"{'id': 668, 'name': 'VVV Venlo'}",2019-09-26T15:30:34Z,1.0,"[{'id': 17136, 'name': 'Joey Kooij', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56930, 'name': 'Jermaine Lapar', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17109, 'name': 'Patrick Inia', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 80087, 'name': 'J. van der Laan', 'role': 'REF', 'nationality': None}, {'id': 17141, 'name': 'Rob Dieperink', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 3, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-03T18:45:00Z,HOME_TEAM,VVV Venlo,RKC Waalwijk
264794,"{'id': 673, 'name': 'SC Heerenveen'}",Regular Season,"{'id': 671, 'name': 'Heracles Almelo'}",2019-10-16T08:30:31Z,1.0,"[{'id': 56908, 'name': 'Richard Martens', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56915, 'name': 'Richard Polman', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17137, 'name': 'Dyon Fikkert', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17139, 'name': 'Clay Ruperti', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56902, 'name': 'Siemen Mulder', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 4}, 'halfTime': {'homeTeam': 0, 'awayTeam': 3}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-04T10:15:00Z,AWAY_TEAM,Heracles Almelo,SC Heerenveen
264795,"{'id': 6806, 'name': 'Sparta Rotterdam'}",Regular Season,"{'id': 675, 'name': 'Feyenoord Rotterdam'}",2019-09-26T15:30:34Z,1.0,"[{'id': 43899, 'name': 'Danny Makkelie', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43874, 'name': 'Mario Diks', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43900, 'name': 'Hessel Steegstra', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17141, 'name': 'Rob Dieperink', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 43716, 'name': 'Jochem Kamphuis', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-04T12:30:00Z,DRAW,Feyenoord Rotterdam,Sparta Rotterdam
264796,"{'id': 676, 'name': 'FC Utrecht'}",Regular Season,"{'id': 680, 'name': 'ADO Den Haag'}",2019-09-26T15:30:34Z,1.0,"[{'id': 43902, 'name': 'Kevin Blom', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56903, 'name': 'Roy de Nas', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56913, 'name': 'Erik Kleinjan', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 80090, 'name': 'Marc Nagtegaal', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56925, 'name': 'Martin Perez', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 2, 'awayTeam': 4}, 'halfTime': {'homeTeam': 2, 'awayTeam': 2}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-04T14:45:00Z,AWAY_TEAM,ADO Den Haag,FC Utrecht
264797,"{'id': 1920, 'name': 'Fortuna Sittard'}",Regular Season,"{'id': 682, 'name': 'AZ'}",2019-09-26T15:30:34Z,1.0,"[{'id': 43861, 'name': 'Dennis Higler', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 14764, 'name': 'Johan Balder', 'role': 'REF', 'nationality': None}, {'id': 43860, 'name': 'Joost van Zuilen', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17117, 'name': 'Laurens Gerrets', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 17144, 'name': 'Edgar Bijl', 'role': 'REF', 'nationality': None}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 0}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-04T18:00:00Z,HOME_TEAM,AZ,Fortuna Sittard
264798,"{'id': 668, 'name': 'VVV Venlo'}",Regular Season,"{'id': 6806, 'name': 'Sparta Rotterdam'}",2019-09-26T15:30:34Z,2.0,"[{'id': 56905, 'name': 'Bas Nijhuis', 'role': 'REF', 'nationality': None}, {'id': 43901, 'name': 'Bas van Dongen', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56924, 'name': 'Rogier Honig', 'role': 'REF', 'nationality': None}, {'id': 17117, 'name': 'Laurens Gerrets', 'role': 'REF', 'nationality': 'Netherlands'}, {'id': 56917, 'name': 'Erwin Blank', 'role': 'REF', 'nationality': 'Netherlands'}]","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 481, 'startDate': '2019-08-09', 'endDate': '2020-03-08', 'currentMatchday': 34}",REGULAR_SEASON,FINISHED,2019-08-09T18:00:00Z,HOME_TEAM,Sparta Rotterdam,VVV Venlo
